Position,    StrawLength(in), Base_x,   Base_y,    Top_x(pixels),  Top_y(pixels)
0,	     47.50730069,      9.0875,   1.0381,   376,            602
4,	     46.88436128,      9.5815,   1.3499,   392,            592
8,	     46.23224307,     10.0755,   1.6567,   409,            582
12,	     45.54969545,     10.5695,   1.9554,   424,            572
16,	     44.83531926,     11.0635,   2.3463,   440,            560
20,	     44.08755121,     11.5575,   2.7232,   457,            547
24,	     43.30465606,     12.0515,   3.0871,   472,            535
28,	     42.48468751,     12.5455,   3.4938,   489,            521
32,	     41.62544133,     13.0395,   3.9165,   505,            507
36,	     40.72440843,     13.5335,   4.3529,   521,            493
40,	     39.77874362,     14.0275,   4.8104,   537,            478
44,	     38.78515619,     14.5215,   5.3106,   554,            462
48,	     37.73983953,     15.0155,   5.8311,   570,            445
52,	     36.63834608,     15.5095,   6.3793,   586,            427
56,	     35.47539973,     16.2035,   6.9597,   608,            408
60,	     34.24470043,     16.6975,   7.5609,   624,            388
64,	     32.93861934,     17.1915,    8.205,   640,            367
68,	     31.54769856,     17.6855,   8.9002,   656,            345
72,	     30.06010397,     18.1795,   9.6418,   673,            320
76,	     28.46053882,     18.6735,  10.4232,   690,            295
80,	     26.72874286,     19.1675,  11.2925,   705,            267
84,	     24.83682701,     19.6615,  12.2211,   721,            236
88,	     22.74445844,     20.1555,   13.259,   737,            202
92,	     20.85831895,     20.6495,   14.207,   753,            171
