st01236,5 12-01-17, ,wk-spenders01,2018-01-19_091545
st01237,5 12-01-17, ,wk-spenders01,2018-01-19_091545
st01238,5 12-01-17, ,wk-spenders01,2018-01-19_091545
st01239,5 12-01-17, ,wk-spenders01,2018-01-19_091545
st01240,5 12-01-17, ,wk-spenders01,2018-01-19_091545
st01241,5 12-01-17, ,wk-spenders01,2018-01-19_091545
st01242,5 12-01-17, ,wk-spenders01,2018-01-19_091545
st01243,5 12-01-17, ,wk-spenders01,2018-01-19_091545
st01244,5 12-01-17, ,wk-spenders01,2018-01-19_091545
st01245,5 12-01-17, ,wk-spenders01,2018-01-19_091545
st01246,5 12-01-17, ,wk-spenders01,2018-01-19_091545
st01247,5 12-01-17, ,wk-spenders01,2018-01-19_091545
st01248,5 12-01-17, ,wk-spenders01,2018-01-19_091545
st01249,5 12-01-17, ,wk-spenders01,2018-01-19_091545
st01250,5 12-01-17, ,wk-spenders01,2018-01-19_091545
st01251,5 12-01-17, ,wk-spenders01,2018-01-19_091545
st01252,5 12-01-17, ,wk-spenders01,2018-01-19_091545
st01253,5 12-01-17, ,wk-spenders01,2018-01-19_091545
st01254,5 12-01-17, ,wk-spenders01,2018-01-19_091545
st01255,5 12-01-17, ,wk-spenders01,2018-01-19_091545
st01256,5 12-01-17, ,wk-spenders01,2018-01-19_091545
st01257,5 12-01-17, ,wk-spenders01,2018-01-19_091545
st01258,5 12-01-17, ,wk-spenders01,2018-01-19_091545
