st01000,1234,,wk-spenders01,2018-01-08_122803
st01001,1234,,wk-spenders01,2018-01-08_122803
st01002,1234,,wk-spenders01,2018-01-08_122803
st01003,1234,,wk-spenders01,2018-01-08_122803
st01004,1234,,wk-spenders01,2018-01-08_122803
st01005,1234,,wk-spenders01,2018-01-08_122803
st01006,1234,,wk-spenders01,2018-01-08_122803
st01007,1234,,wk-spenders01,2018-01-08_122803
st01008,1234,,wk-spenders01,2018-01-08_122803
st01009,1234,,wk-spenders01,2018-01-08_122803
st01010,1234,,wk-spenders01,2018-01-08_122803
